dataset,variant,seed,num_classes,num_landmarks,coord_dim,input_shape,opset,dynamic_batch,model_path,pytorch_model_size_mb,label_encoder_path,onnx_path,onnx_export_status,onnx_size_mb,onnx_parity_status,onnx_max_abs_diff,onnx_mean_abs_diff,onnxruntime_error,tensorrt_engine_path,tensorrt_engine_size_mb,trtexec_command,trtexec_command_path
asl_dataset,full_model,42,28,21,3,"(1, 21, 3)",17,True,multi_dataset_results_fixed_labels\asl_dataset\models\full_model_seed42.pth,1.4159173965454102,multi_dataset_results_fixed_labels\asl_dataset\label_encoder_full_model_seed42.pkl,multi_dataset_results_fixed_labels\asl_dataset\deployment\full_model_seed42.onnx,ok,1.4241418838500977,pass,1.1920928955078125e-06,4.182968780241936e-07,,multi_dataset_results_fixed_labels\asl_dataset\deployment\full_model_seed42.engine,0.0,"trtexec --onnx=""multi_dataset_results_fixed_labels\asl_dataset\deployment\full_model_seed42.onnx"" --saveEngine=""multi_dataset_results_fixed_labels\asl_dataset\deployment\full_model_seed42.engine"" --minShapes=landmarks:1x21x3 --optShapes=landmarks:1x21x3 --maxShapes=landmarks:1x21x3 --fp16",multi_dataset_results_fixed_labels\asl_dataset\deployment\trtexec_command_full_model_seed42.txt
indian_sign_language,full_model,42,33,21,3,"(1, 21, 3)",17,True,multi_dataset_results_fixed_labels\indian_sign_language\models\full_model_seed42.pth,1.4208612442016602,multi_dataset_results_fixed_labels\indian_sign_language\label_encoder_full_model_seed42.pkl,multi_dataset_results_fixed_labels\indian_sign_language\deployment\full_model_seed42.onnx,ok,1.4290447235107422,pass,7.62939453125e-06,2.6207981136394665e-06,,multi_dataset_results_fixed_labels\indian_sign_language\deployment\full_model_seed42.engine,0.0,"trtexec --onnx=""multi_dataset_results_fixed_labels\indian_sign_language\deployment\full_model_seed42.onnx"" --saveEngine=""multi_dataset_results_fixed_labels\indian_sign_language\deployment\full_model_seed42.engine"" --minShapes=landmarks:1x21x3 --optShapes=landmarks:1x21x3 --maxShapes=landmarks:1x21x3 --fp16",multi_dataset_results_fixed_labels\indian_sign_language\deployment\trtexec_command_full_model_seed42.txt
