variant,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,latency_ms_mean,latency_ms_std,fps_mean,fps_std,params_mean,macs_mean,macs_std,flops_approx_mean,flops_approx_std,thop_params_mean,thop_params_std,model_file_size_mb_mean,model_file_size_mb_std,pth_model_size_mb_mean,pth_model_size_mb_std,onnx_model_size_mb_mean,onnx_model_size_mb_std,tensorrt_engine_size_mb_mean,tensorrt_engine_size_mb_std,onnx_max_abs_diff_mean,onnx_max_abs_diff_std,onnx_argmax_match_mean,onnx_argmax_match_std,dataset
ablation_plain_mlp,0.8217821782178218,0.0881565042190962,0.7771242769995383,0.1150672900911688,0.8047639082377337,0.1073695246794087,0.809452900065682,0.1075653210732781,0.7881612038754897,0.0963787105505572,0.2072778000147082,0.0058369239976387,4827.458083186674,133.83520445369533,171292.0,170496.0,0.0,340992.0,0.0,171292.0,0.0,0.6563224792480469,8.529922399512313e-06,0.6563224792480469,8.529922399512313e-06,,,,,,,,,asl_dataset
full_model,0.8950495049504952,0.0272552116462872,0.8854314158864096,0.0304709635101608,0.8931842636721999,0.0269336058058677,0.8950054434115691,0.0282565160338488,0.8899812885527172,0.0295323035216356,0.7159272000426427,0.2684133636393431,1549.6139928409784,509.9741542857405,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4159433364868164,1.450086807917171e-05,1.4159433364868164,1.450086807917171e-05,1.4241437911987305,0.0,,,2.574920654296875e-06,7.231593555499601e-07,1.0,0.0,asl_dataset
full_model_wo_anatomical_loss,0.8917491749174917,0.023730268002967,0.8824062210209652,0.0261310256287052,0.8897500557332183,0.0250072647837156,0.8886577070406128,0.0254479457704213,0.8870417677560536,0.0243428880071878,0.5049573999131098,0.076687043463432,2011.394168479645,255.6138926039737,369756.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.4150390625,1.2794883599280108e-05,1.4150390625,1.2794883599280108e-05,1.4241418838500977,0.0,,,2.002716064453125e-06,1.074207337004548e-06,1.0,0.0,asl_dataset
plus_anatomical_loss,0.8924092409240924,0.0169252559801426,0.8805959706232359,0.0181812246683371,0.8903691471103488,0.0182632353126691,0.8891977665191952,0.018625716043989,0.8826866784009642,0.0166874926049573,0.9063596000196412,0.5588320022206074,1460.910165418115,728.6950880810449,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4162275314331054,1.450086807917171e-05,1.4162275314331054,1.450086807917171e-05,,,,,,,,,asl_dataset
plus_normalization,0.8693069306930694,0.0204247504247733,0.8441001921363235,0.0289141759692863,0.8650208904114501,0.0222985749778967,0.8584317345819447,0.0252997726979083,0.8461246689818118,0.0254174448004153,0.2066437999601476,0.0025768135685493,4839.853050730476,60.94380971233454,171292.0,170496.0,0.0,340992.0,0.0,171292.0,0.0,0.6563224792480469,8.529922399512313e-06,0.6563224792480469,8.529922399512313e-06,,,,,,,,,asl_dataset
plus_positional_encoding,0.8970297029702969,0.0315177198318503,0.883046731758456,0.032554688807859,0.8949270744444856,0.0317217149098378,0.8925946637396217,0.0336364056338615,0.8853066774495346,0.0328163999883764,0.2133213999331928,0.0141295295637518,4703.016374148124,287.9629679915458,353116.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.3502479553222655,9.382914639450355e-06,1.3502479553222655,9.382914639450355e-06,,,,,,,,,asl_dataset
plus_residual,0.8699669966996699,0.0393002657336084,0.8516664052954367,0.0519703394816923,0.8655464330928764,0.0430576034435142,0.8615313206462275,0.0489801605993623,0.8549154813440527,0.0491667781124776,0.4881103999796323,0.0373616173869332,2057.7697487256896,148.01845406613492,369756.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.4146759033203125,4.0090635277731927e-05,1.4146759033203125,4.0090635277731927e-05,,,,,,,,,asl_dataset
plus_smote,0.8930693069306932,0.0212095960568443,0.8814722219417532,0.0281222889963906,0.8910042184205617,0.0235126044793671,0.8913484519681999,0.0238595996830128,0.8866419294990724,0.0244914306816867,0.5333162000169978,0.0269227546579955,1878.8637938052127,94.20619379170206,369951.0,359296.0,0.0,718592.0,0.0,351967.0,0.0,1.4159433364868164,1.450086807917171e-05,1.4159433364868164,1.450086807917171e-05,,,,,,,,,asl_dataset
plus_spatial_attention,0.8382838283828382,0.1051972108944503,0.8169428256008106,0.113635007474811,0.8293373972906078,0.1132482743690366,0.828719556617887,0.1199112786406687,0.8252276295133438,0.1079731171878893,0.4977995998924598,0.0422892282475036,2020.2324055149445,168.24537574222933,369756.0,355264.0,0.0,710528.0,0.0,351772.0,0.0,1.4149389266967771,1.2794883599280108e-05,1.4149389266967771,1.2794883599280108e-05,,,,,,,,,asl_dataset
ablation_plain_mlp,0.9121693121693122,0.0105542126231681,0.8883898143859164,0.0152512880983533,0.90973014823488,0.0108360339293048,0.8998674652737071,0.0176657174165675,0.8877220211512131,0.0143985620303234,0.2072601998806931,0.0209447826634978,4859.975021201065,434.60230432548303,172577.0,171776.0,0.0,343552.0,0.0,172577.0,0.0,0.6612052917480469,8.529922399512313e-06,0.6612052917480469,8.529922399512313e-06,,,,,,,,,indian_sign_language
