dataset,variant,seed,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,weighted_f1,precision_macro,recall_macro,params,latency_ms,fps,model_file_size_mb,pth_model_size_mb,onnx_model_size_mb,tensorrt_engine_size_mb,tensorrt_version,trtexec_available,tensorrt_conversion_status,tensorrt_parity_status,tensorrt_command,onnx_path,tensorrt_engine_path,macs,flops_approx,thop_params,flops_status,onnx_export_status,onnx_parity_status,onnx_max_abs_diff,onnx_argmax_match,tensorrt_command_file,deployment_stats_path
asl_large_dataset,baseline_mlp,2024,0.99144091087554,0.9897114252061248,0.9928563015312132,0.9899772814733454,0.98803202818495,0.9917390402798532,0.9914412543053122,0.989814220391339,0.9901848243001796,171292,0.2329460001783445,4292.8403974929615,0.6561470031738281,0.6561470031738281,0.6550455093383789,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_run_RUN_TENSORRT_CONVERSION_false,not_run_no_engine_or_runtime,trtexec --onnx=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed2024.onnx --saveEngine=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed2024.engine --explicitBatch --fp16,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed2024.onnx,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed2024.engine,170496.0,340992.0,171292.0,ok,ok,ok,1.1444091796875e-05,1.0,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\trtexec_command_baseline_mlp_seed2024.txt,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_mlp_seed2024.csv
asl_large_dataset,baseline_mlp,2025,0.9905771495877504,0.9888496270121712,0.9921476246564586,0.9892159992171542,0.9872367830959068,0.9910697769614892,0.9905779332435812,0.989154267965808,0.9893637971755244,171292,0.2040750000742264,4900.159253393501,0.6561470031738281,0.6561470031738281,0.6550455093383789,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_run_RUN_TENSORRT_CONVERSION_false,not_run_no_engine_or_runtime,trtexec --onnx=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed2025.onnx --saveEngine=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed2025.engine --explicitBatch --fp16,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed2025.onnx,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed2025.engine,170496.0,340992.0,171292.0,ok,ok,ok,1.1444091796875e-05,1.0,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\trtexec_command_baseline_mlp_seed2025.txt,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_mlp_seed2025.csv
asl_large_dataset,baseline_mlp,3407,0.9902630545740086,0.9884570082449942,0.9919120533961524,0.9888732298739384,0.9868299278165448,0.9907740998977952,0.9902631866436388,0.9889110750603964,0.9889159409466998,171292,0.217615999863483,4595.250352121764,0.6561470031738281,0.6561470031738281,0.6550455093383789,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_run_RUN_TENSORRT_CONVERSION_false,not_run_no_engine_or_runtime,trtexec --onnx=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed3407.onnx --saveEngine=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed3407.engine --explicitBatch --fp16,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed3407.onnx,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed3407.engine,170496.0,340992.0,171292.0,ok,ok,ok,9.5367431640625e-06,1.0,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\trtexec_command_baseline_mlp_seed3407.txt,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_mlp_seed3407.csv
asl_large_dataset,baseline_mlp,1234,0.9902630545740086,0.9884570082449942,0.9918335296427168,0.9890109313600044,0.9869722824032648,0.9907833350801052,0.9902706025878228,0.9888397100104668,0.9892569482182118,171292,0.2237710001645609,4468.854316531637,0.6561470031738281,0.6561470031738281,0.6550455093383789,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_run_RUN_TENSORRT_CONVERSION_false,not_run_no_engine_or_runtime,trtexec --onnx=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed1234.onnx --saveEngine=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed1234.engine --explicitBatch --fp16,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed1234.onnx,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_mlp_seed1234.engine,170496.0,340992.0,171292.0,ok,ok,ok,7.62939453125e-06,1.0,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\trtexec_command_baseline_mlp_seed1234.txt,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_mlp_seed1234.csv
asl_large_dataset,baseline_svm,42,0.9938751472320376,0.9924597565763644,0.9951315272870044,0.993305476966124,0.991652791107318,0.9947234419460824,0.9938754596170783,0.9932856186805532,0.9933545125595312,362088,0.5142269999487326,1944.6664607259013,3.616227149963379,,,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_applicable_svm,not_applicable_svm,,,,,,,not_applicable_svm,not_applicable_svm,not_applicable_svm,,,,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_svm_seed42.csv
asl_large_dataset,baseline_svm,2024,0.993561052218296,0.9921476246564586,0.9949744797801336,0.9924311163434678,0.9906801470121358,0.9940633362031804,0.9935608618567758,0.9924793399651752,0.9924106631269202,365148,0.5341600000974722,1872.098247374424,3.646714210510254,,,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_applicable_svm,not_applicable_svm,,,,,,,not_applicable_svm,not_applicable_svm,not_applicable_svm,,,,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_svm_seed2024.csv
asl_large_dataset,baseline_svm,2025,0.9920691009030232,0.9902630545740086,0.9934825284648606,0.9907912042278222,0.9887257840887508,0.992485093864108,0.9920694097945352,0.990694484720953,0.9909177977174046,364788,0.5237299998407252,1909.3807883911868,3.6431283950805664,,,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_applicable_svm,not_applicable_svm,,,,,,,not_applicable_svm,not_applicable_svm,not_applicable_svm,,,,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_svm_seed2025.csv
asl_large_dataset,baseline_svm,3407,0.9937180997251668,0.992226148409894,0.9951315272870044,0.9926280072676,0.9909680934364504,0.9942803491062372,0.993722027953029,0.992533631782155,0.9927277262936058,363348,0.510260000010021,1959.7852075027647,3.628785133361816,,,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_applicable_svm,not_applicable_svm,,,,,,,not_applicable_svm,not_applicable_svm,not_applicable_svm,,,,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_svm_seed3407.csv
asl_large_dataset,baseline_svm,1234,0.994110718492344,0.992775814683942,0.9952885747938752,0.9932437748061514,0.9916302550800618,0.9946412043277064,0.9941108795122684,0.9932742660510986,0.993257973931447,359478,0.5016320000868291,1993.4932377258765,3.5902109146118164,,,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_applicable_svm,not_applicable_svm,,,,,,,not_applicable_svm,not_applicable_svm,not_applicable_svm,,,,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_svm_seed1234.csv
asl_large_dataset,baseline_pointnet,42,0.960188457008245,0.956811935610522,0.9634079308990968,0.9551454163522494,0.9513992508024748,0.9587139844723848,0.9602163395440838,0.9550854675734864,0.9565690054879108,41180,0.7342610001796857,1361.9135426711805,0.1675949096679687,0.1675949096679687,0.1573514938354492,,not_available: ModuleNotFoundError: No module named 'tensorrt',False,not_run_RUN_TENSORRT_CONVERSION_false,not_run_no_engine_or_runtime,trtexec --onnx=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_pointnet_seed42.onnx --saveEngine=./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_pointnet_seed42.engine --explicitBatch --fp16,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_pointnet_seed42.onnx,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\baseline_pointnet_seed42.engine,393152.0,786304.0,41180.0,ok,ok,ok,0.008127212524414,1.0,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\trtexec_command_baseline_pointnet_seed42.txt,./multi_dataset_results_fixed_labels\asl_large_dataset\deployment\deployment_stats_baseline_pointnet_seed42.csv
